geoid,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
01432,21910115,1240734,8.46,0.479,42.564663,-71.567298,2017
01434,13669084,401234,5.278,0.155,42.538903000000005,-71.612027,2017
01436,24837851,512349,9.59,0.198,42.602059000000004,-72.08701500000001,2017
01438,1403966,48433,0.542,0.019,42.562243,-72.031402,2017
01440,62245175,2514727,24.033,0.971,42.588337,-71.986069,2017
01450,84887942,2590936,32.775,1.0,42.61176,-71.565269,2017
01451,49574292,1669980,19.141,0.645,42.501908,-71.568201,2017
01452,106327332,2406515,41.053000000000004,0.929,42.489598,-72.00287800000001,2017
01453,73761032,1356772,28.479,0.524,42.519967,-71.763319,2017
01460,42773951,2574959,16.515,0.9940000000000001,42.535931,-71.490569,2017
01462,68442649,3418284,26.426,1.32,42.582607,-71.720464,2017
01463,58471591,1548500,22.576,0.598,42.670643,-71.602858,2017
01464,38804944,201617,14.982999999999999,0.078,42.573654,-71.640986,2017
01467,4891512,38884,1.889,0.015,42.489646,-71.609577,2017
01468,55435947,697085,21.404,0.26899999999999996,42.542767,-72.068345,2017
01469,58987947,606711,22.775,0.23399999999999999,42.664828,-71.695087,2017
01473,91788815,4700075,35.44,1.815,42.5546,-71.90544,2017
01474,25720066,78185,9.931000000000001,0.03,42.669685,-71.752751,2017
01475,110974737,2713725,42.848,1.048,42.66816,-72.055644,2017
01501,40042740,2404899,15.460999999999999,0.929,42.198708,-71.846006,2017
01503,33599590,524072,12.972999999999999,0.20199999999999999,42.384929,-71.633889,2017
01504,28774220,825565,11.11,0.319,42.039991,-71.53240600000001,2017
01505,41586648,9557756,16.057000000000002,3.69,42.355049,-71.716157,2017
01506,40216388,2734658,15.527999999999999,1.056,42.180788,-72.10789100000001,2017
01507,109244211,4178897,42.178999999999995,1.6130000000000002,42.133935,-71.968025,2017
01510,14642352,4176666,5.653,1.6130000000000002,42.411887,-71.690005,2017
01515,25570219,1427831,9.873,0.551,42.209682,-72.040178,2017
01516,95233279,4020460,36.77,1.5519999999999998,42.053072,-71.752241,2017
01518,23006295,1928708,8.883,0.745,42.127477,-72.118818,2017
01519,28262682,279339,10.912,0.10800000000000001,42.203404,-71.679739,2017
01520,46830019,1794650,18.081,0.693,42.336372,-71.850626,2017
01521,31821357,1990946,12.286,0.769,42.046813,-72.18013499999999,2017
01522,42423772,1400937,16.38,0.541,42.375634000000005,-71.86738199999999,2017
01523,65266074,1166195,25.199,0.45,42.483569,-71.675585,2017
01524,41390162,2494186,15.981,0.963,42.249603,-71.919217,2017
01525,1162429,81163,0.449,0.031,42.106794,-71.63051800000001,2017
01527,40346711,1861968,15.578,0.7190000000000001,42.192246000000004,-71.777649,2017
01529,12596928,143331,4.864,0.055,42.036642,-71.578779,2017
01531,53773245,403234,20.761999999999997,0.156,42.319125,-72.130814,2017
01532,47840780,705398,18.471,0.272,42.323342,-71.646236,2017
01534,22683896,325551,8.758,0.126,42.142074,-71.643348,2017
01535,55084355,1754940,21.268,0.6779999999999999,42.267564,-72.06687600000001,2017
01536,21589160,748441,8.336,0.289,42.231309,-71.692642,2017
01537,18084549,295746,6.982,0.114,42.158966,-71.897051,2017
01540,50104202,2048499,19.345,0.7909999999999999,42.116263000000004,-71.857465,2017
01541,91769490,1032231,35.431999999999995,0.39899999999999997,42.454125,-71.87754,2017
01542,10428067,422663,4.026,0.163,42.204251,-71.908907,2017
01543,90948948,2972529,35.116,1.148,42.388284999999996,-71.969865,2017
01545,53731552,2717798,20.746,1.0490000000000002,42.284766999999995,-71.714228,2017
01550,52418639,1611501,20.239,0.622,42.059737,-72.033908,2017
01560,9235407,270460,3.5660000000000003,0.10400000000000001,42.175395,-71.674223,2017
01561,319275,0,0.12300000000000001,0.0,42.44397,-71.685583,2017
01562,85035834,3053864,32.833,1.179,42.247211,-71.991867,2017
01564,79294039,2752967,30.616,1.063,42.447924,-71.776045,2017
01566,73421232,2569631,28.348000000000003,0.992,42.103214,-72.079545,2017
01568,55570155,610353,21.456,0.23600000000000002,42.176526,-71.603588,2017
01569,75310393,1580615,29.078000000000003,0.61,42.05593,-71.631232,2017
01570,32005192,5800852,12.357000000000001,2.24,42.047532000000004,-71.846952,2017
01571,53953608,2745002,20.831999999999997,1.06,42.053778,-71.935075,2017
01581,53357574,2228806,20.601,0.861,42.268426,-71.613309,2017
01583,32682786,2354742,12.619000000000002,0.909,42.369417,-71.785036,2017
01585,66168212,1669172,25.548000000000002,0.644,42.240796,-72.162645,2017
01588,22296364,1649002,8.609,0.637,42.118794,-71.672494,2017
01590,82919847,4173702,32.016,1.611,42.132051000000004,-71.75031800000001,2017
01602,14933023,631589,5.766,0.244,42.269189000000004,-71.850728,2017
01603,11692457,340394,4.513999999999999,0.131,42.243826,-71.84356899999999,2017
01604,16674556,476608,6.438,0.184,42.253254,-71.767957,2017
01605,14613491,341305,5.642,0.132,42.289683000000004,-71.78779300000001,2017
01606,15353873,24032,5.928,0.009000000000000001,42.315249,-71.795741,2017
01607,8187237,136952,3.161,0.053,42.225974,-71.788894,2017
01608,1159107,0,0.44799999999999995,0.0,42.26198,-71.801462,2017
01609,9893463,56961,3.82,0.022000000000000002,42.285114,-71.829987,2017
01610,5505967,9032,2.126,0.003,42.247049,-71.808366,2017
01611,8914393,647960,3.4419999999999997,0.25,42.237604,-71.875838,2017
01612,39662274,1981212,15.314,0.765,42.296797999999995,-71.928991,2017
01701,43947040,1816965,16.968,0.7020000000000001,42.319587,-71.4428,2017
01702,20951465,1972408,8.089,0.762,42.282379,-71.436621,2017
01718,121367,0,0.047,0.0,42.519816,-71.429283,2017
01719,26638827,317227,10.285,0.122,42.485985,-71.520985,2017
01720,51058853,1114408,19.714000000000002,0.43,42.483953,-71.43849499999999,2017
01721,31948334,1395751,12.335,0.539,42.257754999999996,-71.473526,2017
01730,35485224,462663,13.700999999999999,0.179,42.499295000000004,-71.281889,2017
01731,2051821,0,0.792,0.0,42.456754,-71.279477,2017
01740,51653594,348725,19.944000000000003,0.135,42.439941,-71.601879,2017
01741,39560420,641489,15.274000000000001,0.248,42.53662,-71.36183199999999,2017
01742,63287949,3359581,24.436,1.297,42.462911,-71.364496,2017
01745,1033539,3023,0.39899999999999997,0.001,42.292114,-71.499197,2017
01746,48280516,1067774,18.641,0.41200000000000003,42.195951,-71.45343000000001,2017
01747,13403501,438658,5.175,0.16899999999999998,42.123007,-71.53140400000001,2017
01748,67924465,4218835,26.226,1.629,42.224096,-71.54048900000001,2017
01749,29843256,888431,11.523,0.34299999999999997,42.389071,-71.545864,2017
01752,54039298,3201505,20.865,1.236,42.349616999999995,-71.547214,2017
01754,13487658,407087,5.207999999999999,0.157,42.425955,-71.45625600000001,2017
01756,46029786,552531,17.772000000000002,0.213,42.09387,-71.544519,2017
01757,38578113,706013,14.895,0.273,42.158691999999995,-71.521419,2017
01760,38367783,2596509,14.814,1.003,42.284822,-71.348811,2017
01770,40897127,957827,15.79,0.37,42.231947,-71.372963,2017
